Dive #,Date (yyyy-mm-dd),Site,Location,Dive Type,Max depth (m),Average depth (m),Bottom Time,Total Time,Gas Mixture,Bottom temp (°C),Surface temp (°C),Vis (m),Current,Wetsuit thickness (mm),Weights (kgs),Tank Type,Buddies,Key Species,
90,2026-1-23,Witch's Hat,"Závora, Mozambique",Thesis Belt transect/SPUE,15.2,,44,52,Air,25,25,4,Surge,5 mm wetsuit w 2 mm shortie,3,Steel,Em,"1x Whitetip Reef sharks (2U), 1x Green turtle (F), 3x Bluespotted Maskray (3F),",
91,2026-1-26,Sponge city,"Závora, Mozambique",Thesis Belt transect/SPUE,21.0,17.7,39,49,Air,25,25,5,Surge,5 mm wetsuit w 2 mm shortie,3,Steel,Em,,
92,2026-1-26,Area 51,"Závora, Mozambique",Thesis Belt transect,17.4,13.6,31,41,Air,24,26,2,Surge,5 mm wetsuit w 2 mm shortie,3,Steel,Em,1x Spanish Dancer,
93,2026-1-26,Witch's Hat,"Závora, Mozambique",Thesis Belt transect/SPUE,15.7,12.4,49,55,Air,26,26,8,Surge,5 mm wetsuit w 2 mm shortie,3,Steel,Em,"1x Potato bass, 2x Bluespotted Maskray (2F)",
94,2026-1-28,Sponge city,"Závora, Mozambique",Thesis Quadrat,22.1,,39,50,Air,25,26,7,Surge,5 mm wetsuit w 2 mm shortie,3,Steel,Em,,
95,2026-1-28,Area 51,"Závora, Mozambique",Thesis Quadrat/SPUE,15.7,,57,65,Air,26,26,8,Surge,5 mm wetsuit w 2 mm shortie,3,Steel,Em,"1x Bluespotted Maskray (M), 2x Phyllidiella zeylanica",
96,2026-1-28,Witch's Hat,"Závora, Mozambique",Thesis Quadrat,15.3,,38,48,Air,25,26,10,Surge,5 mm wetsuit w 2 mm shortie,3,Steel,Em,"9x Bluespotted Maskray (9F), big school of Bigeye Kingfish",
97,2026-1-29,Sponge city,"Závora, Mozambique",Thesis Quadrat,22.8,17.2,38,48,Air,25,26,6,Surge,5 mm wetsuit w 2 mm shortie,3,Steel,Em,1x Unknown Turtle (F),
98,2026-1-29,Area 51,"Závora, Mozambique",Thesis Quadrat/SPUE,15.4,10.9,64,76,Air,26,27,15,Surge,5 mm wetsuit w 2 mm shortie,3,Steel,Em,"1x Jenkins Whipray (U), 4x Bluespotted Maskray (3F,1M)",
99,2026-1-29,Witch's Hat,"Závora, Mozambique",Thesis Quadrat,15.1,12.0,42,52,Air,26,27,12,Surge,5 mm wetsuit w 2 mm shortie,3,Steel,Em,"2x Jenkins Whipray (2M), 10x Bluespotted Maskray (8F,2M). 1x Halgerda indotessellata",
